"play","value"
"Yann Sommer","€5.00m"
"Emil Audero","€5.00m"
"Raffaele Di Gennaro","€300k"
"Alessandro Bastoni","€70.00m"
"Benjamin Pavard","€50.00m"
"Yann Bisseck","€16.00m"
"Stefan de Vrij","€7.00m"
"Francesco Acerbi","€3.50m"
"Federico Dimarco","€50.00m"
"Matteo Darmian","€4.00m"
"Hakan Çalhanoğlu","€45.00m"
"Kristjan Asllani","€18.00m"
"Nicolò Barella","€80.00m"
"Davide Frattesi","€35.00m"
"Henrikh Mkhitaryan","€6.00m"
"Davy Klaassen","€4.00m"
"Stefano Sensi","€3.00m"
"Denzel Dumfries","€24.00m"
"Tajon Buchanan","€8.00m"
"Juan Cuadrado","€1.00m"
"Carlos Augusto","€22.00m"
"Lautaro Martínez","€110.00m"
"Marcus Thuram","€65.00m"
"Marko Arnautovic","€4.00m"
"Alexis Sánchez","€2.50m"
"Mike Maignan","€38.00m"
"Marco Sportiello","€1.50m"
"Lapo Nava","€150k"
"Antonio Mirante","€100k"
"Fikayo Tomori","€40.00m"
"Malick Thiaw","€25.00m"
"Pierre Kalulu","€20.00m"
"Matteo Gabbia","€8.00m"
"Simon Kjær","€1.50m"
"Mattia Caldara","€800k"
"Theo Hernández","€60.00m"
"Davide Calabria","€13.00m"
"Filippo Terracciano","€4.50m"
"Alessandro Florenzi","€2.00m"
"Ismaël Bennacer","€30.00m"
"Yacine Adli","€15.00m"
"Tijjani Reijnders","€30.00m"
"Ruben Loftus-Cheek","€25.00m"
"Yunus Musah","€22.00m"
"Tommaso Pobega","€10.00m"
"Rafael Leão","€90.00m"
"Noah Okafor","€20.00m"
"Christian Pulisic","€40.00m"
"Samuel Chukwueze","€20.00m"
"Luka Jović","€7.00m"
"Olivier Giroud","€3.00m"
"Alex Meret","€12.00m"
"Pierluigi Gollini","€4.00m"
"Nikita Contini","€400k"
"Hubert Idasiak","€150k"
"Amir Rrahmani","€15.00m"
"Natan","€12.00m"
"Leo Østigård","€8.00m"
"Juan Jesus","€2.50m"
"Mathías Olivera","€15.00m"
"Mário Rui","€3.50m"
"Giovanni Di Lorenzo","€15.00m"
"Pasquale Mazzocchi","€3.00m"
"Stanislav Lobotka","€28.00m"
"Leander Dendoncker","€7.00m"
"Diego Demme","€800k"
"Frank Anguissa","€27.00m"
"Piotr Zieliński","€22.00m"
"Jens Cajuste","€10.00m"
"Jesper Lindstrøm","€22.00m"
"Hamed Junior Traorè","€17.00m"
"Khvicha Kvaratskhelia","€80.00m"
"Matteo Politano","€13.00m"
"Cyril Ngonge","€12.00m"
"Giacomo Raspadori","€25.00m"
"Victor Osimhen","€100.00m"
"Giovanni Simeone","€10.00m"
"Wojciech Szczęsny","€6.00m"
"Mattia Perin","€3.00m"
"Carlo Pinsoglio","€200k"
"Bremer","€60.00m"
"Federico Gatti","€18.00m"
"Tiago Djaló","€12.00m"
"Danilo","€10.00m"
"Daniele Rugani","€4.00m"
"Andrea Cambiaso","€25.00m"
"Alex Sandro","€2.00m"
"Mattia De Sciglio","€1.00m"
"Manuel Locatelli","€28.00m"
"Adrien Rabiot","€35.00m"
"Weston McKennie","€28.00m"
"Fabio Miretti","€15.00m"
"Nicolò Fagioli","€15.00m"
"Carlos Alcaraz","€15.00m"
"Hans Nicolussi Caviglia","€3.00m"
"Timothy Weah","€12.00m"
"Samuel Iling-Junior","€13.00m"
"Filip Kostić","€6.50m"
"Federico Chiesa","€35.00m"
"Kenan Yıldız","€30.00m"
"Dušan Vlahović","€65.00m"
"Moise Kean","€14.00m"
"Arkadiusz Milik","€6.00m"
"Marco Carnesecchi","€16.00m"
"Juan Musso","€5.00m"
"Francesco Rossi","€100k"
"Giorgio Scalvini","€45.00m"
"Isak Hien","€20.00m"
"Berat Djimsiti","€10.00m"
"Sead Kolasinac","€10.00m"
"Rafael Tolói","€2.50m"
"Giovanni Bonfanti","€1.00m"
"José Luis Palomino","€700k"
"Marten de Roon","€7.00m"
"Éderson","€40.00m"
"Mario Pasalic","€13.00m"
"Michel Adopo","€1.00m"
"Emil Holm","€12.00m"
"Davide Zappacosta","€6.00m"
"Hans Hateboer","€3.50m"
"Matteo Ruggeri","€20.00m"
"Mitchel Bakker","€6.50m"
"Teun Koopmeiners","€50.00m"
"Charles De Ketelaere","€34.00m"
"Aleksey Miranchuk","€10.00m"
"Ademola Lookman","€40.00m"
"Gianluca Scamacca","€35.00m"
"El Bilal Touré","€20.00m"
"Mile Svilar","€9.00m"
"Rui Patrício","€1.00m"
"Pietro Boer","€150k"
"Evan Ndicka","€25.00m"
"Gianluca Mancini","€25.00m"
"Dean Huijsen","€10.00m"
"Diego Llorente","€7.00m"
"Chris Smalling","€2.50m"
"Angeliño","€8.00m"
"Leonardo Spinazzola","€4.00m"
"Rasmus Kristensen","€10.00m"
"Zeki Çelik","€6.00m"
"Rick Karsdorp","€5.00m"
